Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Grace_Period_Usage_Rate,Late_Payment_Count,Had_Special_Consideration,Default
Public,48,18000,Bi-Monthly,Owned,15,Yes,2,Spouse,60,20000,No,No,None,Insurance,0,0.0,0,0,0
Private,8,12000,Bi-Monthly,Rented,1,No,1,Friend,12,13000,No,No,None,None,0,0.0,0,0,1
Private,26,25000,Bi-Monthly,Rented,3,Yes,0,Sibling,30,22000,Yes,Yes,Freelance,Savings,0,0.0,0,0,0
Public,120,22000,Monthly,Owned,25,Yes,3,Parent,150,25000,Yes,Yes,OFW_Remittance,Insurance,1,0.1,0,0,0
Private,14,14000,Bi-Monthly,Rented,0.5,No,3,Friend,10,11000,No,No,None,None,0,0.0,0,0,1
Private,38,19000,Bi-Monthly,Owned,8,Yes,1,Spouse,40,21000,No,Yes,None,Savings,1,0.0,0,0,0
Public,15,16000,Monthly,Rented,2,No,2,Sibling,24,18000,No,No,OFW_Remittance,Community_Plan,0,0.0,0,0,0
Private,6,11000,Weekly,Rented,1,Yes,0,Friend,15,12000,No,No,None,None,0,0.0,0,0,1
Private,60,35000,Bi-Monthly,Owned,12,Yes,2,Spouse,72,40000,Yes,Yes,Business,Insurance,1,0.2,1,0,0
Public,3,14000,Bi-Monthly,Rented,0.8,No,1,Parent,48,20000,No,No,None,None,0,0.0,0,0,1
Private,30,17000,Bi-Monthly,Rented,4,Yes,4,Sibling,25,16000,No,Yes,Freelance,Community_Plan,1,0.8,3,1,1
Public,96,21000,Monthly,Owned,20,Yes,1,Spouse,100,23000,Yes,No,None,Savings,1,0.0,0,0,0
Private,19,16500,Bi-Monthly,Rented,1.5,No,2,Friend,24,15000,No,No,OFW_Remittance,None,0,0.0,0,0,0
Private,22,28000,Bi-Monthly,Owned,5,Yes,0,Spouse,24,30000,No,Yes,Business,Insurance,1,0.3,1,0,0
Public,25,17500,Bi-Monthly,Rented,3,Yes,3,Parent,60,22000,No,Yes,None,Community_Plan,1,0.5,2,1,0
Private,39,22000,Bi-Monthly,Owned,6.2,Yes,2,Spouse,45,24000,No,Yes,None,Savings,1,0.1,0,0,0
Private,5,13000,Bi-Monthly,Rented,0.8,No,1,Friend,19,12000,No,No,None,None,0,0.0,0,0,1
Public,78,35000,Monthly,Owned,18.5,Yes,3,Spouse,82,38000,Yes,Yes,Business,Insurance,1,0.2,1,0,0
