Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,102,32279.37,Biweekly,Rented,2.1,Yes,5,Sibling,75,36422.68,No,No,Business,Insurance,0,0
Private,6,17011.46,Monthly,Rented,2.6,No,5,Spouse,32,30616.6,No,No,OFW Remittance,Community Plan,0,1
Public,6,43374.99,Monthly,Owned,5.2,No,3,Sibling,31,18145.51,No,Yes,None,None,0,1
Public,88,38291.16,Monthly,Rented,6.9,No,4,Friend,79,24219.26,No,No,Business,Community Plan,0,0
Public,39,15267.64,Monthly,Rented,9.5,No,1,Spouse,109,36673.05,No,Yes,Freelance,Insurance,0,0
Public,19,35669.34,Weekly,Rented,5.1,No,4,Sibling,38,41580.83,Yes,No,None,Insurance,0,0
Public,43,17332.77,Bimonthly,Owned,1.0,Yes,1,Spouse,101,37058.89,Yes,Yes,OFW Remittance,Insurance,0,0
Public,73,28516.29,Biweekly,Rented,8.6,Yes,0,Spouse,47,16863.36,Yes,No,None,Community Plan,0,0
Public,111,43534.08,Biweekly,Rented,9.8,No,2,Sibling,59,33289.35,No,No,None,None,0,1
Public,108,17381.86,Bimonthly,Owned,8.1,Yes,4,Sibling,43,19247.6,Yes,No,None,Community Plan,0,0
Public,94,37573.69,Bimonthly,Rented,1.9,Yes,3,Sibling,57,37892.69,No,Yes,None,Savings,0,0
Public,42,33668.24,Bimonthly,Owned,1.2,No,5,Spouse,60,17408.29,Yes,No,OFW Remittance,Community Plan,0,0
Private,106,31809.71,Monthly,Owned,2.8,No,2,Friend,20,20566.9,Yes,No,OFW Remittance,None,0,0
Private,96,28029.09,Bimonthly,Owned,8.6,No,1,Spouse,12,23712.99,No,No,None,Community Plan,0,0
Public,26,30624.89,Biweekly,Owned,0.1,Yes,3,Sibling,99,42743.67,Yes,No,OFW Remittance,Community Plan,0,0
Private,58,23625.37,Bimonthly,Rented,1.8,No,0,Parent,103,25851.67,No,No,OFW Remittance,Community Plan,0,0
Public,8,28533.66,Biweekly,Owned,2.7,Yes,4,Parent,114,33471.69,Yes,No,None,Insurance,0,0
Public,82,39129.95,Bimonthly,Owned,3.8,Yes,4,Friend,21,31886.47,No,No,None,Community Plan,0,1
Private,14,27228.49,Bimonthly,Rented,4.0,No,3,Spouse,92,20735.58,Yes,No,None,Community Plan,0,1
Public,75,38728.39,Biweekly,Owned,7.4,Yes,5,Parent,88,31203.25,No,Yes,Business,Community Plan,0,0
Public,112,30374.45,Weekly,Rented,8.6,No,5,Spouse,35,20628.17,Yes,Yes,None,None,0,0
Public,81,42087.71,Weekly,Owned,8.6,Yes,2,Sibling,61,36564.41,No,Yes,Business,Insurance,0,0
Private,22,44049.49,Bimonthly,Rented,7.6,Yes,0,Spouse,93,29837.73,No,Yes,OFW Remittance,None,0,0
Public,92,29553.19,Weekly,Owned,2.0,Yes,0,Friend,55,31212.05,No,Yes,OFW Remittance,Savings,0,0
Private,111,21447.49,Bimonthly,Owned,0.3,Yes,2,Parent,105,34178.73,Yes,No,Business,Insurance,0,0
Private,58,43623.85,Monthly,Owned,8.3,Yes,1,Parent,59,18571.76,No,Yes,Business,Savings,0,0
Private,56,29690.11,Weekly,Owned,6.1,No,4,Sibling,117,19484.48,Yes,Yes,None,Community Plan,0,0
Public,9,15004.05,Weekly,Owned,0.5,No,3,Spouse,36,39621.83,Yes,Yes,Business,Community Plan,0,1
Private,106,28708.19,Bimonthly,Owned,0.7,No,2,Friend,75,22041.42,No,Yes,Freelance,Savings,0,0
Private,111,40828.1,Monthly,Owned,4.6,No,3,Sibling,102,37367.59,Yes,No,Freelance,Savings,0,0
Private,114,37957.09,Bimonthly,Rented,4.5,Yes,2,Sibling,12,32116.04,No,Yes,Freelance,Insurance,0,0
Public,74,43730.4,Monthly,Owned,8.9,No,4,Sibling,61,17403.93,Yes,Yes,OFW Remittance,Savings,0,0
