Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Grace_Period_Usage_Rate,Late_Payment_Count,Had_Special_Consideration,Default
Public,64,40729,Monthly,Owned,18,Yes,2,Spouse,196,64832,Yes,Yes,None,Community Plan,1,0.24,1,0,0
Public,159,59971,Monthly,Owned,6,Yes,2,Spouse,115,40035,Yes,No,OFW_Remittance,Savings,1,0.01,0,0,0
Private,22,17051,Monthly,Owned,2,No,5,Sibling,27,14466,No,No,None,None,0,0.95,9,1,1
Private,173,67190,Monthly,Owned,7,Yes,0,Spouse,147,35589,No,Yes,None,Community Plan,1,0.17,0,1,0
Private,113,25457,Monthly,Rented,28,Yes,0,Sibling,185,62894,No,No,OFW_Remittance,Insurance,1,0.14,2,0,0
Private,168,63895,Monthly,Owned,13,No,1,Parent,89,76880,No,No,Business,Savings,1,0.24,2,0,0
Private,182,26694,Monthly,Owned,29,Yes,0,Parent,62,30185,No,Yes,OFW_Remittance,Community Plan,0,0.14,0,0,0
Public,172,60553,Bi-Weekly,Owned,11,Yes,0,Parent,130,67277,Yes,Yes,None,Savings,1,0.13,0,0,0
Public,152,57521,Bi-Weekly,Rented,22,Yes,1,Parent,143,51097,Yes,Yes,OFW_Remittance,Community Plan,1,0.02,0,0,0
Public,41,32230,Bi-Weekly,Owned,25,No,0,Sibling,208,72167,Yes,Yes,OFW_Remittance,Insurance,1,0.01,0,0,0
Public,56,68965,Monthly,Owned,9,No,2,Spouse,90,43962,Yes,Yes,OFW_Remittance,Insurance,1,0.12,0,0,0
Public,41,64803,Monthly,Owned,24,Yes,1,Parent,147,32152,Yes,No,OFW_Remittance,Insurance,1,0.24,0,0,0
Public,189,36470,Monthly,Owned,20,Yes,2,Spouse,189,39178,No,Yes,OFW_Remittance,Insurance,1,0.05,0,0,0
Public,132,67927,Monthly,Rented,17,Yes,0,Spouse,186,44602,Yes,Yes,Business,Insurance,1,0.09,0,0,0
Public,13,9824,Bi-Weekly,Rented,2,No,6,Friend,11,13038,No,No,None,Savings,0,0.53,9,1,1
Private,23,14362,Bi-Weekly,Rented,3,Yes,7,Friend,25,11307,No,No,None,Savings,0,0.6,7,1,1
Private,72,29516,Bi-Weekly,Rented,23,Yes,2,Spouse,84,37095,Yes,Yes,None,Insurance,1,0.03,0,0,0
Private,17,13820,Weekly,Rented,3,No,9,Friend,23,18026,No,Yes,None,None,0,0.86,9,0,1
Private,116,35622,Bi-Weekly,Owned,29,Yes,2,Spouse,67,51603,No,Yes,OFW_Remittance,Community Plan,1,0.07,0,0,0
Private,76,30801,Monthly,Owned,15,No,2,Spouse,188,77102,Yes,Yes,OFW_Remittance,Community Plan,1,0.22,2,0,0
Public,187,69817,Monthly,Owned,17,Yes,2,Spouse,174,53449,Yes,Yes,Business,Insurance,1,0.12,2,0,0
Public,179,45775,Bi-Weekly,Owned,14,Yes,2,Spouse,183,67550,Yes,No,Business,Community Plan,1,0.22,2,1,0
Private,64,26916,Monthly,Rented,7,No,2,Parent,158,69226,Yes,Yes,None,Savings,1,0.2,1,0,0
Private,167,52512,Monthly,Owned,15,Yes,2,Spouse,53,42755,Yes,Yes,None,Insurance,1,0.22,0,0,0
Private,67,67028,Monthly,Rented,13,Yes,0,Parent,108,43155,Yes,Yes,OFW_Remittance,Community Plan,0,0.14,2,0,0
Private,13,8147,Weekly,Rented,1,Yes,5,Friend,32,15041,No,No,None,Savings,0,0.91,5,1,1
Private,59,65570,Monthly,Owned,27,Yes,1,Parent,177,40813,Yes,Yes,None,Insurance,0,0.15,0,0,0
Public,116,60858,Monthly,Owned,14,Yes,2,Spouse,108,76474,Yes,Yes,Business,Insurance,1,0.22,2,0,0
Public,135,50591,Monthly,Owned,12,Yes,2,Spouse,211,69496,No,No,OFW_Remittance,Community Plan,1,0.19,1,1,0
Private,154,31893,Monthly,Owned,18,No,0,Spouse,67,34814,Yes,Yes,Business,Insurance,1,0.12,0,0,0
Public,174,57332,Bi-Weekly,Owned,9,Yes,0,Parent,160,72848,No,Yes,OFW_Remittance,Community Plan,1,0.08,2,1,0
Private,5,9772,Monthly,Rented,2,No,5,Sibling,24,10576,No,No,None,None,0,0.74,6,1,1
Private,14,14938,Monthly,Rented,1,No,5,Sibling,8,8973,No,No,Freelance,None,0,0.66,8,1,1
Private,50,30107,Bi-Weekly,Owned,15,Yes,0,Spouse,173,31101,Yes,Yes,Business,Savings,1,0.02,1,0,0
Private,10,16498,Bi-Weekly,Rented,3,No,4,Friend,24,21902,No,No,Freelance,None,0,0.98,10,1,1
Private,8,10157,Bi-Weekly,Rented,2,Yes,3,Friend,13,20707,No,No,None,Savings,0,0.91,8,0,1
Private,9,12222,Monthly,Owned,2,Yes,9,Sibling,8,15889,No,No,None,None,0,0.98,9,1,1
Public,71,34192,Bi-Weekly,Rented,17,No,2,Spouse,130,63448,Yes,Yes,OFW_Remittance,Savings,1,0.04,0,0,0
Private,166,62717,Bi-Weekly,Owned,29,Yes,0,Spouse,164,63079,Yes,No,Business,Community Plan,1,0.23,0,0,0
Private,22,19504,Bi-Weekly,Rented,2,No,6,Friend,35,14173,No,No,None,Savings,0,0.81,11,1,1
Private,14,13254,Weekly,Owned,3,Yes,9,Friend,22,10173,No,No,None,Savings,0,0.85,10,0,1
Public,102,43124,Bi-Weekly,Owned,26,Yes,0,Spouse,63,49578,Yes,No,OFW_Remittance,Insurance,0,0.14,2,0,0
Public,62,66146,Monthly,Owned,24,Yes,0,Spouse,114,68242,Yes,No,Business,Community Plan,1,0.2,2,0,0
