Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Is_Renewing_Client,Grace_Period_Usage_Rate,Late_Payment_Count,Had_Special_Consideration,Default
48,18000,Bi-Monthly,15,Yes,2,60,20000,0,0,0,0,0
8,12000,Bi-Monthly,1,No,1,12,13000,0,0,0,0,1
26,25000,Bi-Monthly,3,Yes,0,30,22000,0,0,0,0,0
120,22000,Monthly,25,Yes,3,150,25000,1,0.1,0,0,0
14,14000,Bi-Monthly,0.5,No,3,10,11000,0,0,0,0,1
38,19000,Bi-Monthly,8,Yes,1,40,21000,1,0,0,0,0
15,16000,Monthly,2,No,2,24,18000,0,0,0,0,0
6,11000,Weekly,1,Yes,0,15,12000,0,0,0,0,1
60,35000,Bi-Monthly,12,Yes,2,72,40000,1,0.2,1,0,0
3,14000,Bi-Monthly,0.8,No,1,48,20000,0,0,0,0,1
30,17000,Bi-Monthly,4,Yes,4,25,16000,1,0.8,3,1,1
96,21000,Monthly,20,Yes,1,100,23000,1,0,0,0,0
19,16500,Bi-Monthly,1.5,No,2,24,15000,0,0,0,0,0
22,28000,Bi-Monthly,5,Yes,0,24,30000,1,0.3,1,0,0
25,17500,Bi-Monthly,3,Yes,3,60,22000,1,0.5,2,1,0
39,22000,Bi-Monthly,6.2,Yes,2,45,24000,1,0.1,0,0,0
5,13000,Bi-Monthly,0.8,No,1,19,12000,0,0,0,0,1
78,35000,Monthly,18.5,Yes,3,82,38000,1,0.2,1,0,0
15,16000,Bi-Monthly,2.1,No,2,22,14000,0,0,0,0,0
42,28000,Bi-Monthly,9.3,Yes,1,38,25000,1,0,0,0,0
156,45000,Monthly,22.7,Yes,2,160,50000,1,0.1,0,0,0
8,11000,Bi-Monthly,1.2,No,0,15,10000,0,0,0,0,1
29,18000,Bi-Monthly,3.8,Yes,3,32,17000,0,0,0,0,0
24,19000,Bi-Monthly,2.9,No,2,65,28000,0,0,0,0,0
51,32000,Bi-Monthly,11.4,Yes,1,55,29000,1,0.3,1,0,0
12,14000,Bi-Monthly,1.5,No,1,18,13000,0,0,0,0,1
87,38000,Monthly,19.2,Yes,3,90,42000,1,0,0,0,0
21,17000,Bi-Monthly,2.8,No,2,27,16000,0,0,0,0,0
6,10000,Weekly,0.9,No,0,12,9000,0,0,0,0,1
45,26000,Bi-Monthly,12.6,Yes,2,50,28000,1,0.2,0,0,0
18,17000,Bi-Monthly,2.3,No,1,72,25000,0,0,0,0,0
35,21000,Bi-Monthly,7.8,Yes,4,40,19000,0,0,2,1,0
9,12000,Bi-Monthly,1.1,No,1,14,11000,0,0,0,0,1
114,42000,Monthly,23.5,Yes,2,120,45000,1,0.1,0,0,0
27,19000,Bi-Monthly,3.2,Yes,3,30,18000,0,0,1,0,0
58,33000,Bi-Monthly,13.7,Yes,1,62,31000,1,0.2,1,0,0
