Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Emp_Tenure,Comaker_Net_Salary,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,83.96373,37290.32,Bimonthly,Owned,3.6815212,No,2.6456993,Friend,-0.08136193,0.99991775,Leader,Frequently,Business,Community Plan,-0.026369708,0.11319375
Private,86.28345,41611.965,Bimonthly,Owned,3.7641945,No,3.008709,Friend,-0.025470117,0.9999323,Leader,Frequently,Business,Community Plan,0.08255764,0.014443085
Private,75.114586,35586.844,Bimonthly,Owned,3.5523026,No,2.7717998,Friend,-0.15824604,0.9999827,Leader,Frequently,Business,Community Plan,0.06337803,0.10558376
Private,82.48424,37084.234,Bimonthly,Owned,3.8379042,No,2.8530183,Friend,-0.12616569,0.99998766,Leader,Frequently,Business,Community Plan,-0.04050948,-0.010990781
Private,82.42152,38350.094,Bimonthly,Owned,3.4850705,No,2.732516,Friend,0.13955142,0.99998355,Leader,Frequently,Business,Community Plan,0.06816427,0.12212337
Private,79.73868,40464.01,Bimonthly,Owned,3.9222636,No,3.0951922,Friend,-0.11850352,0.99999017,Leader,Frequently,Business,Community Plan,0.1172947,0.12528947
Private,85.322556,41333.836,Bimonthly,Owned,3.4946876,No,2.8677,Friend,0.015829805,0.99994314,Leader,Frequently,Business,Community Plan,0.0250826,0.08640947
Private,75.10213,38304.016,Bimonthly,Owned,3.5600061,No,2.7615006,Friend,-0.10272553,0.99997145,Leader,Frequently,Business,Community Plan,-0.052845705,0.07728233
Private,79.28863,42889.48,Bimonthly,Owned,3.8515608,No,3.0201063,Friend,-0.15352494,0.99997,Leader,Frequently,Business,Community Plan,0.08935791,0.08058952
Private,78.85856,40662.625,Bimonthly,Owned,3.437348,No,2.8719647,Friend,-0.036524095,0.9999917,Leader,Frequently,Business,Community Plan,0.043198552,0.18894686
